样本ID,source_split,数据来源,音频路径,audio_exists_in_zip,原始标签,建议细分标签,映射训练场景,场景ID,场景名称,ASR状态,paraformer_hotword_status,paraformer_hotword_seconds,文本长度,质量评分(1-5),复核结论,建议接入,用途层级,风险标签,建议用途,AI精审结论,AI精审理由,AI建议用途,文本摘要,开场候选句,转写全文,备注/问题,处理日期,精品库序号
taf-0657,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00179/tts_fraud_00179.mp3,True,投资诈骗,投资理财诈骗,SC-02 投资理财诈骗,SC-02,投资理财诈骗,done,done,9.87,698,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；利益诱导,随机开场/收益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是某某投资公司的张经理。最近我们发现您在金融市场上的表现非常出色，想邀请您加入我们的一项高收益投资计划，那这可是个难得的机会。您有兴趣了解一下吗？你好，张经理，谢谢您的关注...,您好，我是某某投资公司的张经理。最近我们发现您在金融市场上的表现非常出色，想邀请您加入我们的一项高收益投资计划，那这可是个难得的机会。,您好，我是某某投资公司的张经理。最近我们发现您在金融市场上的表现非常出色，想邀请您加入我们的一项高收益投资计划，那这可是个难得的机会。您有兴趣了解一下吗？你好，张经理，谢谢您的关注和邀请。我确实对投资有一些兴趣，但也听说过不少投资陷阱。这个计划具体是怎样的呢？嗯，能给我详细介绍一下吗？当然可以，这是一项专门针对优质客户的独家投资计划。我们通过专业的团队分析市场动态，选择最佳的投资组合，确保高收益的同时控制风险。目前我们有一项特别的收益回报，前一百名投资者可以享受更高的收益回报。您如果有意向的话，我可以先帮您预留一个名额。听起来确实不错，但我还是想了解更多细节。比如这项投资的具体内容，风险控制措施以及需要投入的最低金额是多少？另外您能提供一下公司的具体信息和联系方式吗？我需要核实一下。好的，我理解您的顾虑。这项投资呢主要是针对优质股票和债券，我们的风险控制团队会定期评估和调整投资组合，确保风险可控。最低投入金额是一万元。基于公司信息，您可以直接登录我们的官方网站查询网址是WWw哦，exappII.嗯嗯，哎七因为为了方便您核实，这是我工号。张经理，工号一二三六，您可以在官网上查到我的信息，您看这样可以吗？谢谢您的耐心解答。张经理，我确实对这个投资机会感兴趣，但还需要再考虑一下。毕竟这是我的储蓄，需要谨慎对待。那我会先去官网查一下相关信息，然后再做决定。如果有什么疑问的话，我会再联系您的。我完全理解您谨慎的态度是对的，这个机会确实值得认真考虑。您可以先去官网了解更多信息，如果有任何疑问就随时联系我。为了方便您，这是我的私人联系电话，有什么问题可以直接联系，我希望呢我们能合作愉快。,包含典型风险触发词,2026-06-27,1
taf-0503,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01163/tts_fraud_01163.mp3,True,客服诈骗,物流/快递诈骗,SC-07 物流快递诈骗,SC-07,物流快递诈骗,done,done,16.86,698,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，这里是顺丰快递客服中心，您的包裹在最近一次检查中被发现，还有不明物品需要您配合，我们进行进一步确认，否则我们将不得不按照相关规定进行处理。为了不影响您的正常使用，请您尽快与我...,您好，这里是顺丰快递客服中心，您的包裹在最近一次检查中被发现，还有不明物品需要您配合，我们进行进一步确认，否则我们将不得不按照相关规定进行处理。为了不影响您的正常使用，请您尽快与我们联系，提供一些必要的信息。,您好，这里是顺丰快递客服中心，您的包裹在最近一次检查中被发现，还有不明物品需要您配合，我们进行进一步确认，否则我们将不得不按照相关规定进行处理。为了不影响您的正常使用，请您尽快与我们联系，提供一些必要的信息。您好，我是李老师。然后你们说我的包裹有问题，这到底是怎么回事？我最近确实买了一些东西，但都是一些日常生活用品，怎么会会有什么明明品品呢？你们能告诉我具体是什么问题吗？李老师您好，非常感谢您的配合。根据我们初步检查，您的包裹中有一些物品疑似禁品品了，确保安全。我们需要您提供一些个人信息，以便核实身份。同时确确包裹内内物物品否否真属于您，这只是一个常规的检查信息，以望您能实理。哦，就这这你们需要我提供供哪些信息呢？我这边配合你们的工作，不过我确实不知道包裹里有什么违禁呢，这样也是误会。嗯，那你们能不能告诉我具体是什么东西呢？这样我也好查一查。李老师，我们理解您的担忧，根据这个规定，我们不能直接告知具体物品名称，但请您放心，这只是一个例行检查。为了尽快解决这个问题，我们只需要您提供姓名、身份证号和联系电话，以便我们核实身份。这样呢我们就能尽快确认包裹的归属，并确保您的权益不受影响，请您配合我们好好的，我理解，那我就提供一下我的信息吧。嗯，比如说我叫李某某，然后身份证号是xxxxxxxxXXXxxxxxxxxxxxx还可xXXxx那你们就核实一下吧。然后希望这只是一个误会，然后谢谢你们的理解。李老师，非常感谢你的配合。我们会尽快核实相关信息，并在确认无误后与您联系。如果你有任何疑问，可以随时拨打我们的客服电话，再次感谢您的理解，祝您生活愉快。好的，谢谢你们，希望一切顺利，再见。,包含典型风险触发词,2026-06-27,2
taf-0375,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00207/tts_fraud_00207.mp3,True,客服诈骗,冒充熟人/亲友紧急诈骗,SC-12 冒充熟人借钱,SC-12,冒充熟人借钱,done,done,15.84,698,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力；情感牵引,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是您的银行客服专员，我们发现您的账户有异常活动，为了避免您的资金安全受到影响，需要您配合我们进行一个简短的安全核查。您好，我这边暂时可以，不过我最近确实没注意到什么异常，您...,您好，我是您的银行客服专员，我们发现您的账户有异常活动，为了避免您的资金安全受到影响，需要您配合我们进行一个简短的安全核查。您好，我这边暂时可以，不过我最近确实没注意到什么异常，您能就是具体说说吗？,您好，我是您的银行客服专员，我们发现您的账户有异常活动，为了避免您的资金安全受到影响，需要您配合我们进行一个简短的安全核查。您好，我这边暂时可以，不过我最近确实没注意到什么异常，您能就是具体说说吗？当然可以，我们发现有一笔可疑的转账操作，就是金额为一千元。而且尝试登录您账户的设备，并不是您常用的设备。为了确保您的资金安全，我们需要尽快确认一些信息。那您不能告诉我您最近是否有进行过类似的转账操作。哦，这个确实有点奇怪的，为您这个这个我这样子，我一般转账都是用常用的手机和电脑。我们有其他身份，您需要我提供什么信息来确认我的身份，非常感谢您的配合。那么为了确认您的身份，我们需要您提供身份证号码和银行账户的后四位数字。这样呢我们才能确保是您本人在操作，请您尽快提供，以便我们及时处理。这个问题。身份证号码和账户后四位出现犹豫，这个好像涉及个人隐私。我之前听朋友说过，要小心个人信息泄露，您能提供一下您的问号或者客服电话。我先核实一下您的身份吧。我理解您的感行，但为了您的账户安全，我们需要尽快处理这个问题。我向您保证，我是您的专属真好，就比较的三思。您可以直接拨打我们银行和官方客服电话，核实我的身份。但我有给他找个安全，最好能尽快确认这些信息。那这样可以。好的，那我先打个电话核实一下您的身份，然后确认无误后再提供这些信息，您看可以吗？稍微有点停顿，毕竟这是我的个人信息，我得谨慎一些，我完全理解您的谨称。那请您注意这种情况，非常征信。为了您的账户安全，我们建议您直接提供所需信息，我们会立即采取措施防护您的账户。如果您坚持要核实的话，那我们只能暂时挂断。但请务必尽快回电，以免造成更大的损失。,包含典型风险触发词,2026-06-27,3
taf-0780,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00543/tts_fraud_00543.mp3,True,身份盗窃,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,9.9,694,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是来自某某银行的客服人员。我注意到您的账户出现了一些异常交易，需要您配合我们进行核实。那为了您的账户安全，请问您现在方便核实一下吗？好的，我最近确实有些人能。不过既然您说有...,您好，我是来自某某银行的客服人员。我注意到您的账户出现了一些异常交易，需要您配合我们进行核实。,您好，我是来自某某银行的客服人员。我注意到您的账户出现了一些异常交易，需要您配合我们进行核实。那为了您的账户安全，请问您现在方便核实一下吗？好的，我最近确实有些人能。不过既然您说有异常交易，那我就得赶紧了解一下。请问具体是什么情？感谢您的验证。我们发现有一笔五百元的转账记录，对方账户名为张三，这并不是您常用的收款人啊，为了确保您的资金安全，我们需要您提供一些信息进行身份验证。首先请问您的身份证号码是多少哦，五五元的转账，那确实不像是我操作哦什么的号码，这种重要信息我得谨慎一些。那您能告诉我这笔笔转账的具体时吗？我先先确认，当然可以。这笔转账发生在今天上午十点三十二分。为了尽快处理这个问题，麻烦您提供一下身份证号码，这样我们可以进一步核实。如果您不放心，我们也可以通过其他方式进行身份证证。比如我们在我行这个运动手机号码。好的，这笔转账的时间确实对得上。我今天上午确实没进行过任何转账。操，那我先告诉您我的预留手机号码吧，您看看能不能通过这个信息验证我的身份，那我的手机号是一三八一二三四五六七八。好的，谢谢您的配合。我这边已经确认了您的预留手机号码。为了进一步确保您的账户安全，还需要您提供身份证号码的后四位。这样呢我们就可以立即处理这个问题了。那您看可以。好的，既然您已经确认了我的预留手机号码，那我提供身份证号码的后四位也没问题。我的身份证号码后四位是一一二三四。然后接下来我需要怎么做好的，您的信息我已经记录下来。然后我们会尽快处理这笔异常交易，并确保您的账户安全。如果有进一步的进展，我们会通过您的预留手机号码联系您，感谢您的配合，祝你一切顺利，再见，谢谢您的帮助，再见。,包含典型风险触发词,2026-06-27,4
taf-0467,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00561/tts_fraud_00561.mp3,True,客服诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,13.83,691,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是您银行的客服代表，您叫李宁。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全，需要您配合进行一次安全验证。请问您觉得现在方便？您好，您我是一个教师，您平时工作挺忙的...,您好，我是您银行的客服代表，您叫李宁。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全，需要您配合进行一次安全验证。,您好，我是您银行的客服代表，您叫李宁。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全，需要您配合进行一次安全验证。请问您觉得现在方便？您好，您我是一个教师，您平时工作挺忙的，不过现在正好有空。您说的这个账户异常是怎么回事？嗯，具体说说吗？好的，非常感谢您的配合。我们发现有一笔可疑的转账操作金额是五千块钱，试图从您的账户转到一个陌生的账户。我们怀疑这可能是一次欺诈行为，我们需要您提供一些信息，以便我们核实并保护您的账户安全。哦，就是这样，确实挺吓人的那我觉得就是需要提供一些什么信息吗？为了确认您的身份，我们需要您提供身份证号码、银行卡号以及您最近一次的交易记录。这样我们才能确保这个账户的安全，并立即采取措施阻止任何不当的转账。您能提供这些信息吗？呃，我理解，不过我身份证和银行卡号都在家里，我现在在学校，那可能得回去才能找到。要不这样吧，我明天回家后再联系您。嗯，可以吗？这确实有点紧急，因为如果这笔转账完成，您的资金可能会有风险。如果您现在不方便，我可以帮您临时冻结账户，但这样呢你也无法正常使用。或者呢您可以先告诉我您的身份证号码和银行卡号其他信息，等您回家后再提供。这样我们就可以先确保您的账户安全。您看这样可以吗？那好吧，我理解情况，星题一不过我还是觉得有点不放心。咦要不这样，我先不提供这些信息，我就直接就去银行一趟，这样就更安全一些。您觉得呢？好的，我理解您现在的情况啊。为了您的安全，我会先帮您冻结账户，您可以明天回家后再联系我，提供必要的信息，这是最安全的做法，希望不会给您带来太多不便，明天见，祝你一天愉快吧。在那。好的，谢谢您的理解，明天见，再见。,包含典型风险触发词,2026-06-27,5
taf-0486,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00821/tts_fraud_00821.mp3,True,客服诈骗,物流/快递诈骗,SC-07 物流快递诈骗,SC-07,物流快递诈骗,done,done,12.84,687,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，这里是快递客服中心，您的包裹在运输过程中出现了问题，需要您配合处理，否则可能会被退回。李老师，我的包裹是什么问题啊？需要我怎么配合呢？李老师，您的包裹内可能还有违禁物品，我们...,您好，这里是快递客服中心，您的包裹在运输过程中出现了问题，需要您配合处理，否则可能会被退回。李老师，我的包裹是什么问题啊？,您好，这里是快递客服中心，您的包裹在运输过程中出现了问题，需要您配合处理，否则可能会被退回。李老师，我的包裹是什么问题啊？需要我怎么配合呢？李老师，您的包裹内可能还有违禁物品，我们需要您提供一些个人信息进行核实，以免造成不必要的麻烦。请您提供姓名、身份证号和联系电话，我们后您查询具体情况。嗯，这个情况听起来有点严重，我确实最近有一个包裹，但是我不记得就是寄得违禁物品。你们能先告诉我这个包裹的具体信息吗？比如寄件人的名字和地址，这样嗯嗯，我也可以确认一下，理解您的担忧。但为了尽快解决这个问题，我们通常会先核实收件人的信息，您可以放心。我们只是需要确认您的身份。如果您能提供相关信息，那我们就可以更快递解决这个问题，避免您的包裹被扣押。我理解您们的的个邮流程，您您您安证件和联系信况。嗯，先确认一下寄件人的信息，这样呢我也能知道具体是什么包裹是不是真的有问题，毕竟我的个人信息也很重要，那我得确保不会出现什么误会。李老师，我能理解您的顾虑。不过，根据我们的规定，必须先核实收件人的信息，才能进一步提供寄件人的详情。这一步是为了保护您的信息安全。如果您能提供姓名、身份证号和联系电话，我们就马上为您查询。这样也可以确保您的包裹不会被误处理。我明白你们的规定，但我的个人信息也很重要，我得确保这是官方渠道。那你们能提供一个官方客服电话或者网站链接，我可以自己去查询吗？这我就更放心一些。李老师，我们非常理解你们的担忧，但为了您的包裹不被误处理，请您先提供基本信息。如果您不方便通过电话提供，可以将信息发送到我们的官方邮箱，我们会尽快为您处理。为了不耽误您的时间，您看就可以了。,包含典型风险触发词,2026-06-27,6
taf-0377,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00226/tts_fraud_00226.mp3,True,客服诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,14.95,683,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是来自某某银行的客服代表。我们最近发现您的账户有异常活动，需要尽快核实一些信息，以保护您的账户安全。哦，真的吗？我最近确实没怎么用这个账户，就是可能有什么问题。然后您能告诉...,您好，我是来自某某银行的客服代表。我们最近发现您的账户有异常活动，需要尽快核实一些信息，以保护您的账户安全。,您好，我是来自某某银行的客服代表。我们最近发现您的账户有异常活动，需要尽快核实一些信息，以保护您的账户安全。哦，真的吗？我最近确实没怎么用这个账户，就是可能有什么问题。然后您能告诉我具体是什么异常吗？当然，我们发现有几笔不明的小额转账，这可能是诈骗分子的克制。您的账户为了确保您的资金安全，我们需要您提供一些信息来验证您的身份。就是这样，听起来挺严重的那我觉得需要提供哪些信息呢？为了验证您的身份，我们需要您提供身份证号码、银行卡号以及您常用的手机号码，这样我们才能确保账户的安全，并采取必要的措施。嗯，我明白。不过呢其实这些信息挺重要的，您能告诉我为什么不能通过银行的其他方式来验证，比如去柜台或者用网银先生。因为这些异常活动是刚刚发生的，我们需要立即处理柜台和网银的验证流程。看慢的话可能会导致您的资金进一步受损。我们现在这个系统可以直接进行安全验证，只需要您提供这些信息即可。这样我也能理解你的请不心。呃，不过呢我还是有点担心，毕竟这些信息太重要了。您能不能给我一个银行的官方电话，我打过去确认一下，这样我也能放心一些。我完全理解你的担心。不过时间非常紧迫，为了确保您的安全，您可以先提供身份证号码，我们验证后立即采取行动。如果您还有疑虑，我可以再处理完这件事，我帮你联系相关部门，这样可以吗？我还是觉得有点不放心，您能理解我的担心吧。我还是先打银行的官方电话确认一下，这样也不会耽误太久，毕竟安全第一嘛，您说对吧？好的对象不用担心，如果需要任何帮助，您可以随时联系我们的客服，领一些顺利，再见。好的，谢谢您的理解，我会尽快联系银行确认的，祝你一切顺利，再见。,包含典型风险触发词,2026-06-27,7
taf-0901,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01246/tts_fraud_01246.mp3,True,彩票诈骗,彩票中奖诈骗,SC-05 虚假中奖,SC-05,虚假中奖,done,done,9.77,680,5,可直接用,是,L3 精品精审库,权威冒充；利益诱导；信息索取；时间压力,随机开场/利益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是国际采购中心的工作人员。恭喜您在我们最近的一次抽奖活动中获得了特等奖，奖金总额高达一百万元。您相信自己的幸运吗？身份吗？这听起也太不可思议了，我怎么从来没有听说过这个活动...,您好，我是国际采购中心的工作人员。恭喜您在我们最近的一次抽奖活动中获得了特等奖，奖金总额高达一百万元。,您好，我是国际采购中心的工作人员。恭喜您在我们最近的一次抽奖活动中获得了特等奖，奖金总额高达一百万元。您相信自己的幸运吗？身份吗？这听起也太不可思议了，我怎么从来没有听说过这个活动呢？嗯，您能告诉我更多详情吗？当然可以，这次活动是我们为了庆祝公司成立十周年而特别举办的。这个参与方式非常简单，只需要在我们的合作商家消费就能自动获得抽奖资格。您的幸运号码是零三二一四，您可以通过我们的官方网站验验证。不过为了确保奖体能够顺利发放，我们就需要您提供一些基本信息来确认您的身份哦这样。不过我平时很少在这些活动中获奖，这次居然中了这么大的奖，确实有点意外。您说的这些信息具体需要提供哪些呢？您能理解您的惊讶，不过请们心这次绝对是真实有效。我们需要您提供姓名的这些电话和身份证号码，以便我们核实您的身份，并为您办理领奖手续。当然我们也会保证您的个人信息安全，为了不耽误您的领奖，您能尽快提供这些信息吗？嗯，我明白，不过呢我还是有点担心个人信息的安全问题。就是说您给我一点时间考虑一下吗？我需要确认一下这个活动的可靠性，我完全理解您的这个顾虑，便于收取个人信息嘛。不过为了保证您的权益，这次领奖的有效期只有三天时间，非常紧张。如果您有什么疑问，可以先通过我们的官方网站查询一下活动详情。但请您务必在三天内回复，否则奖品可能会被取消。您看这样可以。好的，我理解您意思，我会尽快上网查一下这个活动的详情，确认一下，再回复您。敬议理解和耐心。好，我理解您的谨慎态度，请您尽快核实，并在三天内给我们回复，以免错过这个难得的机会。如果您有任何疑问，也可以随时联系，我要注意一切事情。,包含典型风险触发词,2026-06-27,8
taf-0672,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01195/tts_fraud_01195.mp3,True,投资诈骗,投资理财诈骗,SC-02 投资理财诈骗,SC-02,投资理财诈骗,done,done,10.01,677,5,可直接用,是,L3 精品精审库,利益诱导；信息索取；时间压力,随机开场/收益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是来自某某投资公司的张经理。我们最近发现一个非常难得的投资机会，年化收益率高达百分之三十。我特地联系您，希望您不要错过这个机会。张经理您好，我是李医生。那这个投资机会听起来...,您好，我是来自某某投资公司的张经理。我们最近发现一个非常难得的投资机会，年化收益率高达百分之三十。,您好，我是来自某某投资公司的张经理。我们最近发现一个非常难得的投资机会，年化收益率高达百分之三十。我特地联系您，希望您不要错过这个机会。张经理您好，我是李医生。那这个投资机会听起来确实不错，不过我平时工作比较忙，对投资了解不错。那您能详细介绍一下这个机会吗？当可可以方这次的投资机会呢是关于新能源项目的，目前市场非常看好，项目的回报率也非常可观，或者是我们公已已经是是初步投资收益非常稳定。呃，如果您感兴趣的话，我可以将详细资料发送到您的邮箱，或者您也可以直接转账，我就可以帮您办理相关手续，谢谢张经理的消息。不过呢我之前也收到过类似的电话，结果发现是个骗局。您能告诉我公司的具体地址和联系方式吗？这样呢我可以有时间考虑一下在做决定，心理医生完全理解您的顾虑。不过这次的机会确实非常难得，时间也非常紧迫，项目即将满额。为了不耽误您的时间，您可以先通过转账给我们公司的账户，我马上为您预留名额。后续您可以随时来公司详细了解我们公司的地址和联系方式，会在交易确认后一并提供给您，这样可以吗？张经理，我知道这个机会听起来很诱人，但我还是希望能在详细了解后再做决定。您能不能先将公司的详细资料和项目介绍发到我的邮箱，这样我有时间仔细研究一下。如果一切都没有问题的话，我会考虑投资的。李医生，我明白您的想法，但这次的机会确实非常难得，这个项目即将难得，而且我们的投资名额非常有限。如果您现在不决定的话，这个铭文可能很快就会被别人抢走。为了不耽误您的时间，您可以先转一笔小额资金作为预留名额的保证金，这样您就可以有时间考虑，而这个名额也不会被别人抢走。您看这样可以。,包含典型风险触发词,2026-06-27,9
taf-0427,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_01482/tts_fraud_01482.mp3,True,客服诈骗,物流/快递诈骗,SC-07 物流快递诈骗,SC-07,物流快递诈骗,done,done,13.89,676,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，这里是XX快递客服中心。我们发现您的包裹被海关扣留了，需要您提供一些信息来协助处理。请问您方便吗？您好，我是学生，平时很少收到快递，更不用说国外的这会不会是什么误会，你们能确...,您好，这里是XX快递客服中心。我们发现您的包裹被海关扣留了，需要您提供一些信息来协助处理。,您好，这里是XX快递客服中心。我们发现您的包裹被海关扣留了，需要您提供一些信息来协助处理。请问您方便吗？您好，我是学生，平时很少收到快递，更不用说国外的这会不会是什么误会，你们能确定什么是我的包裹吗？非常理解您的疑问，我们确实核对的多次确实是您的包裹。比如说可能是您的朋友或者家人给您记得，有时候寄件人的信息可能不完全的为了确保安全，我们需要您提供一些基本信息来确认身。比如说您能提供一下您的全名和身份证号吗？这样我们就可以快速处理，我理解你们需要确认身份，但我还是有一些担心这种情况。以前就是情况里面遇到过，比如说你们能告诉我具体是哪个国家寄来的包裹吗？还有什么？然后为什么会对这个海关扣留呢？您的担忧我们完全理解这个包裹是从美国寄来的，可能是由于申报信息不全，或者有违禁品嫌疑被海关扣不留了。那为了尽快解决这个问题，我们需要您的全名和身份证号来确认这个身份，您可以提供一下吗？这样我们就能帮您顺利取回包裹，这里面这里面的解释，但我还是觉得不太对劲。你们能告诉我你们的客服电话吗？我就需要核实一下这个情哦。如果真是这样，我也会联系地件人确认。我明白您的谨慎，但为了您的包裹安全，我们建议您尽快提供信息。您可以通过我们的官方客服电话进行核实，电话号码是四百零一零一零一零一。不过请您注意提供信息是解决问题的第一步，否则就是您的包裹可能就会被退回或者销毁。您能理解吗？那如果您方便的话，就先提供一下您的信息吧。我理解你的理条，但还是觉得需要再核实一下。我现在不太方便提供这些敏感信息，我会先通过你们给的电话号码联系客服核实一下，然后呢再做进一步的处理嗯。,包含典型风险触发词,2026-06-27,10
