sample_id,source_split,audio_path,answers,has_fraud_binary,has_normal_binary,fraud_types,scene_labels,message_counts,audio_exists_in_zip,transcript_status,transcript_text
taf-0001,train,audio/NEG-imitate-10/tts_test1028/tts_test1028.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0002,train,audio/NEG-imitate-10/tts_test1038/tts_test1038.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0003,train,audio/NEG-imitate-10/tts_test1100/tts_test1100.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0004,train,audio/NEG-imitate-10/tts_test1105/tts_test1105.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0005,train,audio/NEG-imitate-10/tts_test1138/tts_test1138.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0006,train,audio/NEG-imitate-10/tts_test1177/tts_test1177.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0007,train,audio/NEG-imitate-10/tts_test1218/tts_test1218.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0008,train,audio/NEG-imitate-10/tts_test1225/tts_test1225.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0009,train,audio/NEG-imitate-10/tts_test1229/tts_test1229.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0010,train,audio/NEG-imitate-10/tts_test1249/tts_test1249.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0011,train,audio/NEG-imitate-10/tts_test1271/tts_test1271.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0012,train,audio/NEG-imitate-10/tts_test1272/tts_test1272.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0013,train,audio/NEG-imitate-10/tts_test1277/tts_test1277.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0014,train,audio/NEG-imitate-10/tts_test1319/tts_test1319.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0015,train,audio/NEG-imitate-10/tts_test1347/tts_test1347.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0016,train,audio/NEG-imitate-10/tts_test1402/tts_test1402.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0017,train,audio/NEG-imitate-10/tts_test1406/tts_test1406.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0018,train,audio/NEG-imitate-10/tts_test1487/tts_test1487.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0019,train,audio/NEG-imitate-10/tts_test1590/tts_test1590.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0020,train,audio/NEG-imitate-10/tts_test1600/tts_test1600.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0021,train,audio/NEG-imitate-10/tts_test1605/tts_test1605.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0022,train,audio/NEG-imitate-10/tts_test1615/tts_test1615.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0023,train,audio/NEG-imitate-10/tts_test1619/tts_test1619.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0024,train,audio/NEG-imitate-10/tts_test1640/tts_test1640.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0025,train,audio/NEG-imitate-10/tts_test1647/tts_test1647.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
taf-0026,train,audio/NEG-imitate-10/tts_test1661/tts_test1661.mp3,fraud;咨询客服;银行诈骗,true,false,银行诈骗,咨询客服,2;4;6,True,pending,
